Code,Seat,County,Population,Land area (km2),Density (people/km2),Municipality,Average_age,Latitude,Longitude,pharmacy_count
1214,Svalöv,Skåne County,13286,387.30,34.30,Svalov,40.2,55.9136519,13.1069825,1
1263,Svedala,Skåne County,20080,218.05,92.09,Svedala,39.3,55.5429301,13.2564478869022,4
1465,Svenljunga,Västra Götaland County,10279,919.76,11.18,Svenljunga,44.3,57.4095998,13.0605725546768,1
1785,Säffle,Värmland County,15288,1259.81,12.14,Saffle,45.6,59.0889985,13.1451308798374,0
2082,Säter,Dalarna County,10929,570.33,19.16,Sater,44.8,60.4142357,15.7372973913191,0
684,Sävsjö,Jönköping County,10953,679.05,16.13,Savsjo,42.4,57.3171689,14.6055594418714,0
2182,Söderhamn,Gävleborg County,25425,1060.77,23.97,Soderhamn,45.6,61.2998501,17.0607599,1
582,Söderköping,Östergötland County,14195,673.85,21.07,Soderkoping,43.9,58.4823802,16.3216224,3
181,Södertälje,Stockholm County,90677,525.15,172.67,Sodertalje,39.4,59.1964289,17.6271663,10
1083,Sölvesborg,Blekinge County,16807,185.31,90.70,Solvesborg,45.1,56.0506535,14.5871906,2
1435,Tanumshede,Västra Götaland County,12287,917.24,13.40,Tanum,46.3,58.7219089,11.3323854,1
1472,Tibro,Västra Götaland County,10725,220.65,48.61,Tibro,43.7,58.4563719,14.2305853565617,1
1498,Tidaholm,Västra Götaland County,12578,518.06,24.28,Tidaholm,43.7,58.1439128,13.9230837365318,1
360,Tierp,Uppsala County,20172,1547.78,13.03,Tierp,43.5,60.47681935,17.8458216750897,0
2262,Timrå,Västernorrland County,18067,783.30,23.07,Timra,43.3,62.58453855,17.4626178946135,1
763,Tingsryd,Kronoberg County,12146,1044.88,11.62,Tingsryd,46.1,56.5401619,14.9982360093508,1
1419,Skärhamn,Västra Götaland County,15047,167.36,89.91,Tjorn,45.7,57.9909221,11.549795,1
1270,Tomelilla,Skåne County,12900,395.94,32.58,Tomelilla,44.1,55.62611725,14.0155959908617,1
1737,Torsby,Värmland County,12037,4162.19,2.89,Torsby,47.2,60.5383848,12.9964841694978,1
834,Torsås,Kalmar County,6867,468.41,14.66,Torsas,46.3,56.41350485,15.9924762128771,0
1452,Tranemo,Västra Götaland County,11566,741.27,15.60,Tranemo,43.8,57.4878054,13.4218879124853,0
687,Tranås,Jönköping County,18185,402.66,45.16,Tranas,43.2,58.0394675,14.8254810769259,2
1287,Trelleborg,Skåne County,42774,339.87,125.85,Trelleborg,42.5,55.37592,13.1461522,6
1488,Trollhättan,Västra Götaland County,56393,409.88,137.58,Trollhattan,40.5,58.2827931,12.2908612,9
488,Trosa,Södermanland County,11619,209.73,55.40,Trosa,43.4,58.7208528,17.6819847814177,0
138,Tyresö (Bollmora),Stockholm County,44057,69.25,636.20,Tyreso,39.8,59.2108553,18.3432557798293,13
160,Täby,Stockholm County,66161,60.72,1089.61,Taby,40.9,59.4615531,18.0708782046907,35
